Valor,Marca,Modelo,AnoModelo,Combustivel,CodigoFipe,MesReferencia,Autenticacao,TipoVeiculo,SiglaCombustivel,DataConsulta
"R$ 109.246,00",Fiat,Fastback 1.0 200 Turbo Flex Aut,2024,Gasolina,001568-7,abril de 2025 ,ggd279jcz3dt3,1,G,"domingo, 13 de abril de 2025 14:51"
"R$ 107.843,00",Fiat,Fastback 1.0 200 Turbo Flex Aut,2024,Gasolina,001568-7,março de 2025 ,gdr3d8mncxdt3,1,G,"domingo, 13 de abril de 2025 14:51"
"R$ 109.377,00",Fiat,Fastback 1.0 200 Turbo Flex Aut,2024,Gasolina,001568-7,fevereiro de 2025 ,ggkvvzsfzldt3,1,G,"domingo, 13 de abril de 2025 14:51"
"R$ 107.990,00",Fiat,Fastback 1.0 200 Turbo Flex Aut,2024,Gasolina,001568-7,janeiro de 2025 ,gdyf1twnzndt3,1,G,"domingo, 13 de abril de 2025 14:51"
"R$ 108.625,00",Fiat,Fastback 1.0 200 Turbo Flex Aut,2024,Gasolina,001568-7,dezembro de 2024 ,gfpjjzpdmbdt3,1,G,"domingo, 13 de abril de 2025 14:51"
"R$ 108.672,00",Fiat,Fastback 1.0 200 Turbo Flex Aut,2024,Gasolina,001568-7,novembro de 2024 ,gfq7hmsh5jdt3,1,G,"domingo, 13 de abril de 2025 14:51"
"R$ 107.895,00",Fiat,Fastback 1.0 200 Turbo Flex Aut,2024,Gasolina,001568-7,outubro de 2024 ,gdtz0fgd7fdt3,1,G,"domingo, 13 de abril de 2025 14:51"
"R$ 108.626,00",Fiat,Fastback 1.0 200 Turbo Flex Aut,2024,Gasolina,001568-7,setembro de 2024 ,gfpkns7wlndt3,1,G,"domingo, 13 de abril de 2025 14:51"
"R$ 108.549,00",Fiat,Fastback 1.0 200 Turbo Flex Aut,2024,Gasolina,001568-7,agosto de 2024 ,gflrw6l22vdt3,1,G,"domingo, 13 de abril de 2025 14:52"
"R$ 109.843,00",Fiat,Fastback 1.0 200 Turbo Flex Aut,2024,Gasolina,001568-7,julho de 2024 ,gg3sxvskcndt3,1,G,"domingo, 13 de abril de 2025 14:52"
"R$ 111.964,00",Fiat,Fastback 1.0 200 Turbo Flex Aut,2024,Gasolina,001568-7,junho de 2024 ,gklwr4tr99dt3,1,G,"domingo, 13 de abril de 2025 14:52"
"R$ 111.592,00",Fiat,Fastback 1.0 200 Turbo Flex Aut,2024,Gasolina,001568-7,maio de 2024 ,gj5cmcjhj7dt3,1,G,"domingo, 13 de abril de 2025 14:52"
"R$ 111.201,00",Fiat,Fastback 1.0 200 Turbo Flex Aut,2024,Gasolina,001568-7,abril de 2024 ,gjp41xspzcdt3,1,G,"domingo, 13 de abril de 2025 14:52"
"R$ 112.527,00",Fiat,Fastback 1.0 200 Turbo Flex Aut,2024,Gasolina,001568-7,março de 2024 ,gk8b39y2hpdt3,1,G,"domingo, 13 de abril de 2025 14:52"
"R$ 112.640,00",Fiat,Fastback 1.0 200 Turbo Flex Aut,2024,Gasolina,001568-7,fevereiro de 2024 ,gldgf9pczydt3,1,G,"domingo, 13 de abril de 2025 14:52"
"R$ 116.726,00",Fiat,Fastback 1.0 200 Turbo Flex Aut,2024,Gasolina,001568-7,janeiro de 2024 ,gq5zcx3k5sdt3,1,G,"domingo, 13 de abril de 2025 14:52"
"R$ 117.174,00",Fiat,Fastback 1.0 200 Turbo Flex Aut,2024,Gasolina,001568-7,dezembro de 2023 ,grp748zrzydt3,1,G,"domingo, 13 de abril de 2025 14:52"
"R$ 115.040,00",Fiat,Fastback 1.0 200 Turbo Flex Aut,2024,Gasolina,001568-7,novembro de 2023 ,gn6pnt60fgdt3,1,G,"domingo, 13 de abril de 2025 14:52"
"R$ 114.273,00",Fiat,Fastback 1.0 200 Turbo Flex Aut,2024,Gasolina,001568-7,outubro de 2023 ,gm9tfx0rrjdt3,1,G,"domingo, 13 de abril de 2025 14:52"
"R$ 110.409,00",Fiat,Fastback 1.0 200 Turbo Flex Aut,2024,Gasolina,001568-7,setembro de 2023 ,ghscnksfm4dt3,1,G,"domingo, 13 de abril de 2025 14:52"
"R$ 111.020,00",Fiat,Fastback 1.0 200 Turbo Flex Aut,2024,Gasolina,001568-7,agosto de 2023 ,gjhk3d2qvfdt3,1,G,"domingo, 13 de abril de 2025 14:52"
