,Valor,Marca,Modelo,AnoModelo,Combustivel,CodigoFipe,MesReferencia,Autenticacao,TipoVeiculo,SiglaCombustivel,DataConsulta
0,"R$ 36.766,00",Fiat,Punto ATTRACTIVE 1.4 Fire Flex 8V 5p,2014,Gasolina,001313-7,fevereiro de 2024 ,r7drvk64y0rl,1,G,"sexta-feira, 23 de fevereiro de 2024 10:05"
1,"R$ 36.951,00",Fiat,Punto ATTRACTIVE 1.4 Fire Flex 8V 5p,2014,Gasolina,001313-7,janeiro de 2024 ,r9k0bpb6t6rl,1,G,"sexta-feira, 23 de fevereiro de 2024 10:05"
2,"R$ 37.137,00",Fiat,Punto ATTRACTIVE 1.4 Fire Flex 8V 5p,2014,Gasolina,001313-7,dezembro de 2023 ,scrl22l3zkrl,1,G,"sexta-feira, 23 de fevereiro de 2024 10:05"
3,"R$ 37.324,00",Fiat,Punto ATTRACTIVE 1.4 Fire Flex 8V 5p,2014,Gasolina,001313-7,novembro de 2023 ,sfyk3rzwc2rl,1,G,"sexta-feira, 23 de fevereiro de 2024 10:05"
4,"R$ 37.512,00",Fiat,Punto ATTRACTIVE 1.4 Fire Flex 8V 5p,2014,Gasolina,001313-7,outubro de 2023 ,sh4xdrhg1rrl,1,G,"sexta-feira, 23 de fevereiro de 2024 10:05"
5,"R$ 37.499,00",Fiat,Punto ATTRACTIVE 1.4 Fire Flex 8V 5p,2014,Gasolina,001313-7,setembro de 2023 ,shz5xk1ss0rl,1,G,"sexta-feira, 23 de fevereiro de 2024 10:05"
6,"R$ 37.562,00",Fiat,Punto ATTRACTIVE 1.4 Fire Flex 8V 5p,2014,Gasolina,001313-7,agosto de 2023 ,sjq2rr1hkjrl,1,G,"sexta-feira, 23 de fevereiro de 2024 10:05"
7,"R$ 37.742,00",Fiat,Punto ATTRACTIVE 1.4 Fire Flex 8V 5p,2014,Gasolina,001313-7,julho de 2023 ,slvhxdj93xrl,1,G,"sexta-feira, 23 de fevereiro de 2024 10:05"
8,"R$ 37.932,00",Fiat,Punto ATTRACTIVE 1.4 Fire Flex 8V 5p,2014,Gasolina,001313-7,junho de 2023 ,sn2kqy9l9xrl,1,G,"sexta-feira, 23 de fevereiro de 2024 10:06"
9,"R$ 38.017,00",Fiat,Punto ATTRACTIVE 1.4 Fire Flex 8V 5p,2014,Gasolina,001313-7,maio de 2023 ,sp2ggm0yvzrl,1,G,"sexta-feira, 23 de fevereiro de 2024 10:06"
10,"R$ 38.209,00",Fiat,Punto ATTRACTIVE 1.4 Fire Flex 8V 5p,2014,Gasolina,001313-7,abril de 2023 ,sr97ts0yk9rl,1,G,"sexta-feira, 23 de fevereiro de 2024 10:06"
11,"R$ 38.261,00",Fiat,Punto ATTRACTIVE 1.4 Fire Flex 8V 5p,2014,Gasolina,001313-7,março de 2023 ,ssx4qrnbf1rl,1,G,"sexta-feira, 23 de fevereiro de 2024 10:06"
12,"R$ 39.649,00",Fiat,Punto ATTRACTIVE 1.4 Fire Flex 8V 5p,2014,Gasolina,001313-7,fevereiro de 2023 ,s96m2x2k08rl,1,G,"sexta-feira, 23 de fevereiro de 2024 10:06"
13,"R$ 38.525,00",Fiat,Punto ATTRACTIVE 1.4 Fire Flex 8V 5p,2014,Gasolina,001313-7,janeiro de 2023 ,sw03brrm9brl,1,G,"sexta-feira, 23 de fevereiro de 2024 10:06"
14,"R$ 38.719,00",Fiat,Punto ATTRACTIVE 1.4 Fire Flex 8V 5p,2014,Gasolina,001313-7,dezembro de 2022 ,sy9l7h0bjzrl,1,G,"sexta-feira, 23 de fevereiro de 2024 10:06"
15,"R$ 39.905,00",Fiat,Punto ATTRACTIVE 1.4 Fire Flex 8V 5p,2014,Gasolina,001313-7,novembro de 2022 ,td6pj7cfymrl,1,G,"sexta-feira, 23 de fevereiro de 2024 10:06"
16,"R$ 38.669,00",Fiat,Punto ATTRACTIVE 1.4 Fire Flex 8V 5p,2014,Gasolina,001313-7,outubro de 2022 ,syqft24mqmrl,1,G,"sexta-feira, 23 de fevereiro de 2024 10:06"
17,"R$ 38.705,00",Fiat,Punto ATTRACTIVE 1.4 Fire Flex 8V 5p,2014,Gasolina,001313-7,setembro de 2022 ,sy4jgbsgcsrl,1,G,"sexta-feira, 23 de fevereiro de 2024 10:06"
18,"R$ 38.839,00",Fiat,Punto ATTRACTIVE 1.4 Fire Flex 8V 5p,2014,Gasolina,001313-7,agosto de 2022 ,s0p69fk9trrl,1,G,"sexta-feira, 23 de fevereiro de 2024 10:06"
19,"R$ 38.911,00",Fiat,Punto ATTRACTIVE 1.4 Fire Flex 8V 5p,2014,Gasolina,001313-7,julho de 2022 ,s1kdj8pmyqrl,1,G,"sexta-feira, 23 de fevereiro de 2024 10:06"
20,"R$ 39.287,00",Fiat,Punto ATTRACTIVE 1.4 Fire Flex 8V 5p,2014,Gasolina,001313-7,junho de 2022 ,s5y14ljh3qrl,1,G,"sexta-feira, 23 de fevereiro de 2024 10:06"
21,"R$ 40.268,00",Fiat,Punto ATTRACTIVE 1.4 Fire Flex 8V 5p,2014,Gasolina,001313-7,maio de 2022 ,tkgmlzfyj9rl,1,G,"sexta-feira, 23 de fevereiro de 2024 10:06"
22,"R$ 39.952,00",Fiat,Punto ATTRACTIVE 1.4 Fire Flex 8V 5p,2014,Gasolina,001313-7,abril de 2022 ,tfrr1mdkjprl,1,G,"sexta-feira, 23 de fevereiro de 2024 10:06"
23,"R$ 39.194,00",Fiat,Punto ATTRACTIVE 1.4 Fire Flex 8V 5p,2014,Gasolina,001313-7,março de 2022 ,s4v765hp4srl,1,G,"sexta-feira, 23 de fevereiro de 2024 10:06"
24,"R$ 38.895,00",Fiat,Punto ATTRACTIVE 1.4 Fire Flex 8V 5p,2014,Gasolina,001313-7,fevereiro de 2022 ,s1ck6tkqlxrl,1,G,"sexta-feira, 23 de fevereiro de 2024 10:06"
25,"R$ 38.533,00",Fiat,Punto ATTRACTIVE 1.4 Fire Flex 8V 5p,2014,Gasolina,001313-7,janeiro de 2022 ,sw30bxtcgwrl,1,G,"sexta-feira, 23 de fevereiro de 2024 10:06"
26,"R$ 37.739,00",Fiat,Punto ATTRACTIVE 1.4 Fire Flex 8V 5p,2014,Gasolina,001313-7,dezembro de 2021 ,sltdwwf0l5rl,1,G,"sexta-feira, 23 de fevereiro de 2024 10:06"
27,"R$ 37.413,00",Fiat,Punto ATTRACTIVE 1.4 Fire Flex 8V 5p,2014,Gasolina,001313-7,novembro de 2021 ,sgzxnk44yyrl,1,G,"sexta-feira, 23 de fevereiro de 2024 10:06"
28,"R$ 37.066,00",Fiat,Punto ATTRACTIVE 1.4 Fire Flex 8V 5p,2014,Gasolina,001313-7,outubro de 2021 ,sbxss28hsbrl,1,G,"sexta-feira, 23 de fevereiro de 2024 10:06"
